boundary_event_key,candidate_id,created_price,downstream_contract_version,downstream_signal_action,downstream_signal_state,downstream_trade_action,equity_ref,exit_pressure,first_seen_time,last_pnl,last_price,last_snapshot_time,latest_auction_action,latest_directional_alignment,latest_signal_action,latest_signal_reason_code,latest_signal_stage,latest_signal_status,lifecycle,ltp,management_posture,management_reason_code,max_pnl,min_pnl,opportunity_key,posture_history_count,setup,setup_reference_price,setup_reference_source,should_exit_signal,side,signal_id,signal_lifecycle_history_count,stage,status,status_reason,symbol,target_expansion_allowed,trail_mode
DIR:DIVISLAB:2026-07-31:002:DOWN:100600:DIRECTIONAL_REVERSAL_LEG_ESTABLISHED:101800,CAND:6644484c352c701feebfdf31,7977.0,AUCTION_SIGNAL_DOWNSTREAM_V2,CLOSE,TERMINAL,FORCE_EXIT,DIVISLAB,HIGH,2026-07-31T10:18:00,-0.6205,8026.5,2026-07-31T12:39:00,EVENT_INVALIDATE,ALIGNED,CLOSE,DIRECTIONAL_REVERSAL_LEG_FAILED_INVALIDATED_OPPOSITE_ACTIVE_SIGNAL,FORCE_EXIT,INVALIDATED,DEFAULT,8026.5,EXIT,DIRECTIONAL_REVERSAL_LEG_FAILED_INVALIDATED_OPPOSITE_ACTIVE_SIGNAL,0.094,-0.6895,OPP:6644484c352c701feebfdf31,48,REVERSAL,8026.5,AUTHORITATIVE_EVENT_GEOMETRY,True,SELL,a73cb6c9-a388-53f1-92b2-41820e34edd3,48,FORCE_EXIT,INVALIDATED,DIRECTIONAL_REVERSAL_LEG_FAILED_INVALIDATED_OPPOSITE_ACTIVE_SIGNAL,DIVISLAB,False,ATR_MULTIPLE
DIR:COFORGE:2026-07-31:002:DOWN:101500:DIRECTIONAL_REVERSAL_LEG_ESTABLISHED:102400,CAND:995ee50ff305357125723e26,1718.0,AUCTION_SIGNAL_DOWNSTREAM_V2,REPLACE,TERMINAL,FORCE_EXIT,COFORGE,HIGH,2026-07-31T10:24:00,0.3609,1711.8,2026-07-31T13:21:00,EVENT_REPLACE,UNKNOWN,REPLACE,REPLACED_BY_NEW_AUTHORITATIVE_OPPORTUNITY,FORCE_EXIT,REPLACED,DEFAULT,1711.8,EXIT,REPLACED_BY_NEW_AUTHORITATIVE_OPPORTUNITY,0.3609,-0.4424,OPP:995ee50ff305357125723e26,60,REVERSAL,1724.2,AUTHORITATIVE_EVENT_GEOMETRY,True,SELL,2afed6e7-898c-5a79-8bf5-1d7891f21ccb,60,FORCE_EXIT,REPLACED,REPLACED_BY_NEW_AUTHORITATIVE_OPPORTUNITY,COFORGE,False,ATR_MULTIPLE
DIR:CHOLAFIN:2026-07-31:002:DOWN:102400:DIRECTIONAL_REVERSAL_LEG_ESTABLISHED:103300,CAND:c91e30e559c61ae9e4a8e30d,1834.9,AUCTION_SIGNAL_DOWNSTREAM_V2,CLOSE,TERMINAL,FORCE_EXIT,CHOLAFIN,HIGH,2026-07-31T10:33:00,-0.4959,1844.0,2026-07-31T11:48:00,EVENT_INVALIDATE,OPPOSED,CLOSE,DIRECTIONAL_TREND_RESTORED_INVALIDATED_OPPOSITE_ACTIVE_SIGNAL,FORCE_EXIT,INVALIDATED,DEFAULT,1844.0,EXIT,DIRECTIONAL_TREND_RESTORED_INVALIDATED_OPPOSITE_ACTIVE_SIGNAL,0.4196,-0.5068,OPP:c91e30e559c61ae9e4a8e30d,26,REVERSAL,1842.1,AUTHORITATIVE_EVENT_GEOMETRY,True,SELL,aee40fe8-7759-5cec-902a-0db152fe528d,26,FORCE_EXIT,INVALIDATED,DIRECTIONAL_TREND_RESTORED_INVALIDATED_OPPOSITE_ACTIVE_SIGNAL,CHOLAFIN,False,ATR_MULTIPLE
DIR:KALYANKJIL:2026-07-31:002:UP:102400:DIRECTIONAL_REVERSAL_LEG_ESTABLISHED:103300,CAND:158ac89230fbe44b1b3cdd63,625.9,AUCTION_SIGNAL_DOWNSTREAM_V2,CLOSE,TERMINAL,FORCE_EXIT,KALYANKJIL,HIGH,2026-07-31T10:33:00,-0.1837,624.75,2026-07-31T11:00:00,EVENT_INVALIDATE,ALIGNED,CLOSE,DIRECTIONAL_REVERSAL_LEG_FAILED_INVALIDATED_OPPOSITE_ACTIVE_SIGNAL,FORCE_EXIT,INVALIDATED,DEFAULT,624.75,EXIT,DIRECTIONAL_REVERSAL_LEG_FAILED_INVALIDATED_OPPOSITE_ACTIVE_SIGNAL,0.3355,-0.1837,OPP:158ac89230fbe44b1b3cdd63,10,REVERSAL,623.05,AUTHORITATIVE_EVENT_GEOMETRY,True,BUY,0be5a943-6906-5924-af54-1d2dcca91257,10,FORCE_EXIT,INVALIDATED,DIRECTIONAL_REVERSAL_LEG_FAILED_INVALIDATED_OPPOSITE_ACTIVE_SIGNAL,KALYANKJIL,False,ATR_MULTIPLE
BAL:TCS:2026-07-31:001:NEUTRAL:100600:BALANCE_ESCAPE_STARTED:103600,CAND:02506b9e9c36e94d0d5e2f0e,2369.4,AUCTION_SIGNAL_DOWNSTREAM_V2,CLOSE,TERMINAL,FORCE_EXIT,TCS,HIGH,2026-07-31T10:36:00,-0.1266,2366.4,2026-07-31T10:39:00,EVENT_INVALIDATE,UNKNOWN,CLOSE,BALANCE_ESCAPE_FAILED_INVALIDATED_SETUP,FORCE_EXIT,INVALIDATED,DEFAULT,2366.4,EXIT,BALANCE_ESCAPE_FAILED_INVALIDATED_SETUP,0.0,-0.1266,OPP:02506b9e9c36e94d0d5e2f0e,2,BREAKOUT_INITIATION,2368.2,FROZEN_BALANCE_BOUNDARY,True,BUY,8ea01a85-4efa-5849-ac33-c03e0b01cda8,2,FORCE_EXIT,INVALIDATED,BALANCE_ESCAPE_FAILED_INVALIDATED_SETUP,TCS,False,ATR_MULTIPLE
DIR:FORCEMOT:2026-07-31:002:UP:105400:DIRECTIONAL_REVERSAL_LEG_ESTABLISHED:110000,CAND:32b3a707960484f98d8399a7,18022.0,AUCTION_SIGNAL_DOWNSTREAM_V2,CLOSE,TERMINAL,FORCE_EXIT,FORCEMOT,HIGH,2026-07-31T11:00:00,-0.7047,17895.0,2026-07-31T15:18:00,SESSION_CUTOFF,OPPOSED,CLOSE,INTRADAY_SIGNAL_CUTOFF,FORCE_EXIT,CLOSED,DEFAULT,17895.0,EXIT,INTRADAY_SIGNAL_CUTOFF,1.7368,-0.7047,OPP:32b3a707960484f98d8399a7,87,REVERSAL,17907.0,AUTHORITATIVE_EVENT_GEOMETRY,True,BUY,76d65cfd-3f5f-5419-81f1-24a924660ce7,87,FORCE_EXIT,CLOSED,INTRADAY_SIGNAL_CUTOFF,FORCEMOT,False,ATR_MULTIPLE
DIR:TORNTPHARM:2026-07-31:002:UP:105700:DIRECTIONAL_REVERSAL_LEG_ESTABLISHED:110300,CAND:dcb490f7068f3aeab3ab074f,5024.7,AUCTION_SIGNAL_DOWNSTREAM_V2,CLOSE,TERMINAL,FORCE_EXIT,TORNTPHARM,HIGH,2026-07-31T11:03:00,0.8836,5069.1,2026-07-31T11:36:00,EVENT_INVALIDATE,ALIGNED,CLOSE,DIRECTIONAL_TREND_RESTORED_INVALIDATED_SETUP,FORCE_EXIT,INVALIDATED,DEFAULT,5069.1,EXIT,DIRECTIONAL_TREND_RESTORED_INVALIDATED_SETUP,0.8836,0.0,OPP:dcb490f7068f3aeab3ab074f,12,REVERSAL,5003.0,AUTHORITATIVE_EVENT_GEOMETRY,True,BUY,099dd7de-7081-52f9-9bd2-655c56b6256c,12,FORCE_EXIT,INVALIDATED,DIRECTIONAL_TREND_RESTORED_INVALIDATED_SETUP,TORNTPHARM,False,ATR_MULTIPLE
BAL:PERSISTENT:2026-07-31:002:NEUTRAL:103600:BALANCE_ESCAPE_STARTED:110600,CAND:6e00ceac84968df1df4d7495,5421.5,AUCTION_SIGNAL_DOWNSTREAM_V2,CLOSE,TERMINAL,FORCE_EXIT,PERSISTENT,HIGH,2026-07-31T11:06:00,1.9884,5529.3,2026-07-31T15:18:00,SESSION_CUTOFF,UNKNOWN,CLOSE,INTRADAY_SIGNAL_CUTOFF,FORCE_EXIT,CLOSED,DEFAULT,5529.3,EXIT,INTRADAY_SIGNAL_CUTOFF,2.9125,0.0,OPP:6e00ceac84968df1df4d7495,85,BREAKOUT_INITIATION,5416.9,FROZEN_BALANCE_BOUNDARY,True,BUY,cad8805e-c102-57a4-96c7-d70c9c07f5cc,85,FORCE_EXIT,CLOSED,INTRADAY_SIGNAL_CUTOFF,PERSISTENT,False,ATR_MULTIPLE
DIR:MANAPPURAM:2026-07-31:006:UP:111200:DIRECTIONAL_REVERSAL_LEG_ESTABLISHED:112100,CAND:7316c4a2330c742a8803fe6c,370.4,AUCTION_SIGNAL_DOWNSTREAM_V2,CLOSE,TERMINAL,FORCE_EXIT,MANAPPURAM,HIGH,2026-07-31T11:21:00,0.3105,371.55,2026-07-31T15:18:00,SESSION_CUTOFF,OPPOSED,CLOSE,INTRADAY_SIGNAL_CUTOFF,FORCE_EXIT,CLOSED,DEFAULT,371.55,EXIT,INTRADAY_SIGNAL_CUTOFF,1.5119,-0.4725,OPP:7316c4a2330c742a8803fe6c,80,REVERSAL,369.15,AUTHORITATIVE_EVENT_GEOMETRY,True,BUY,50c51811-b112-5f0f-9fcc-a1422ceea97c,80,FORCE_EXIT,CLOSED,INTRADAY_SIGNAL_CUTOFF,MANAPPURAM,False,ATR_MULTIPLE
BAL:KALYANKJIL:2026-07-31:002:NEUTRAL:105100:BALANCE_ESCAPE_STARTED:112700,CAND:4a3872010c190995b2d63ff8,629.5,AUCTION_SIGNAL_DOWNSTREAM_V2,CLOSE,TERMINAL,FORCE_EXIT,KALYANKJIL,HIGH,2026-07-31T11:27:00,-2.7006,612.5,2026-07-31T15:18:00,SESSION_CUTOFF,OPPOSED,CLOSE,INTRADAY_SIGNAL_CUTOFF,FORCE_EXIT,CLOSED,DEFAULT,612.5,EXIT,INTRADAY_SIGNAL_CUTOFF,0.2224,-2.7164,OPP:4a3872010c190995b2d63ff8,78,BREAKOUT_INITIATION,628.95,FROZEN_BALANCE_BOUNDARY,True,BUY,fe205a27-ef8f-5bf7-9192-94593d799d94,78,FORCE_EXIT,CLOSED,INTRADAY_SIGNAL_CUTOFF,KALYANKJIL,False,ATR_MULTIPLE
